Winner,title_fight,no_of_rounds,B_current_lose_streak,B_current_win_streak,B_draw,B_avg_BODY_attempted_strikes,B_avg_BODY_landed_strikes,B_avg_CLINCH_attempted_strikes,B_avg_CLINCH_landed_strikes,B_avg_DISTANCE_att,B_avg_DISTANCE_landed,B_avg_GROUND_attempted_strikes,B_avg_GROUND_landed_strikes,B_avg_HEAD_attempted_strikes,B_avg_HEAD_landed_strikes,B_avg_KD,B_avg_kicks_attempted,B_avg_kicks_landed,B_avg_guard_passed,B_avg_Reversals,B_avg_significant_strikes_attempted,B_avg_Significant_Strikes_landed,B_avg_SIG_STR_pct,B_avg_SUB_ATT,B_avg_TD_att,B_avg_TD_landed,B_avg_TD_pct,B_avg_TOTAL_STR_att,B_avg_TOTAL_STR_landed,B_longest_win_streak,B_losses,B_total_rounds_fought,B_total_time_fought(seconds),B_total_title_bouts,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_wins,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_current_lose_streak,R_current_win_streak,R_draw,R_avg_BODY_att,R_avg_BODY_landed,R_avg_CLINCH_att,R_avg_CLINCH_landed,R_avg_DISTANCE_att,R_avg_DISTANCE_landed,R_avg_GROUND_att,R_avg_GROUND_landed,R_avg_HEAD_att,R_avg_HEAD_landed,R_avg_KD,R_avg_LEG_att,R_avg_LEG_landed,R_avg_PASS,R_avg_REV,R_avg_SIG_STR_att,R_avg_SIG_STR_landed,R_avg_SIG_STR_pct,R_avg_SUB_ATT,R_avg_TD_att,R_avg_TD_landed,R_avg_TD_pct,R_avg_TOTAL_STR_att,R_avg_TOTAL_STR_landed,R_longest_win_streak,R_losses,R_total_rounds_fought,R_total_time_fought(seconds),R_total_title_bouts,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_wins,R_Height_cms,R_Reach_cms,R_Weight_lbs,B_age,R_age,B_Stance_Open Stance,B_Stance_Orthodox,B_Stance_Sideways,B_Stance_Southpaw,B_Stance_Switch,R_Stance_Open Stance,R_Stance_Orthodox,R_Stance_Southpaw,R_Stance_Switch
Blue,FALSE,3,1,0,0,7.666666667,5,7.166666667,4,97.33333333,38.16666667,4,1.833333333,93.33333333,33.16666667,0.333333333,7.5,5.833333333,0.666666667,0,108.5,44,0.37,0.5,0.5,0,0,122.8333333,57.33333333,2,3,15,722,0,0,1,1,0,1,0,3,180.34,182.88,170,0,2,0,3,2,0,0,33,14.5,9.5,8.5,32.5,15,1,7,6,0,0,42.5,23,0.725,0,0,0,0,45.5,24.5,2,0,3,300,0,0,0,0,2,0,0,2,182.88,180.34,170,28,28,0,1,0,0,0,0,1,0,0
Red,FALSE,3,0,1,0,29,20,7,4,147,54,2,0,119,31,0,8,7,1,0,156,58,0.37,0,2,2,1,171,70,1,0,3,900,0,0,0,1,0,0,0,1,165.1,170.18,125,1,0,0,15,12,16,12,34,9,1,1,30,7,0,6,3,1,0,51,22,0.43,0,2,1,0.5,72,41,0,1,3,900,0,0,0,0,0,0,0,0,172.72,167.64,125,27,22,0,1,0,0,0,0,1,0,0
Blue,FALSE,3,3,0,0,5,4.666666667,11,8.333333333,41.33333333,17,0.666666667,0,47.33333333,20,0,0.666666667,0.666666667,0.333333333,0,53,25.33333333,0.49,0,1,0,0,56.33333333,28.33333333,0,3,5,441.3333333,0,0,0,0,0,0,0,0,180.34,193.04,205,1,0,0,0,0,2,1,14,5,2,2,15,6,0,3,2,0,0,18,8,0.44,1,0,0,0,22,11,0,1,2,453,0,0,0,0,0,0,0,0,190.5,182.88,205,36,23,0,1,0,0,0,0,1,0,0
Red,FALSE,3,0,1,0,21.33333333,17.66666667,25,20,128,57.33333333,11.66666667,7.666666667,124,48.33333333,0,19.33333333,19,0.333333333,0,164.6666667,85,0.513333333,0,4.666666667,1.333333333,0.266666667,191,109.3333333,1,2,9,900,0,0,0,1,0,0,0,1,160.02,160.02,115,0,1,0,30,15,7,4,185,71,2,2,107,31,0,57,31,1,0,194,77,0.39,0,2,1,0.5,200,83,1,0,3,900,0,0,0,1,0,0,0,1,162.56,162.56,115,36,29,0,1,0,0,0,0,0,0,1
Red,FALSE,3,1,0,0,14.5,13,8,6,135.5,62.5,0,0,122.5,50,0,6.5,5.5,0,0,143.5,68.5,0.565,0,0,0,0,144.5,69.5,1,1,4,466.5,0,0,1,0,0,0,0,1,162.56,167.64,115,0,2,0,7.5,3.5,12.5,9,204.5,73.5,2,1,182.5,61,0,29,19,0,0,219,83.5,0.38,0,0,0,0,224.5,88.5,2,0,6,900,0,0,0,2,0,0,0,2,165.1,160.02,115,29,29,0,1,0,0,0,0,1,0,0
Red,FALSE,3,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,1,1,238,0,0,0,0,0,0,0,0,180.34,190.5,185,1,0,0,9,6,1,1,39,17,15,13,41,20,0,5,5,2,0,55,31,0.56,1,1,0,0,110,81,0,1,3,900,0,0,0,0,0,0,0,0,190.5,205.74,185,33,26,0,0,0,1,0,0,1,0,0
Blue,FALSE,5,0,6,0,7.9,4,2.9,1.5,96.2,36,3.8,2.5,88.8,30.7,0.7,6.2,5.3,0.4,0,102.9,40,0.417,0,0.9,0.4,0.133,106.6,43.3,6,2,21,566.9,0,0,0,4,4,0,0,8,182.88,185.42,170,0,2,0,10.47368421,7.631578947,11.42105263,8.736842105,61.52631579,22.05263158,17.31578947,13.15789474,73.78947368,31.78947368,0.105263158,6,4.526315789,2.105263158,0.105263158,90.26315789,43.94736842,0.434736842,0.263157895,4.526315789,2.157894737,0.437368421,128.1052632,78.21052632,7,5,48,685.8947368,0,0,1,7,5,1,0,14,190.5,203.2,170,32,31,0,1,0,0,0,0,1,0,0
Red,FALSE,3,1,0,0,12.84210526,8.263157895,12.36842105,8.263157895,73.47368421,18.84210526,15.52631579,11.26315789,86.89473684,28.52631579,0.105263158,1.631578947,1.578947368,2,0.052631579,101.3684211,38.36842105,0.335789474,1.105263158,5.842105263,2.052631579,0.334210526,157.7894737,87.26315789,6,5,48,698.9473684,0,0,2,8,3,1,0,14,177.8,180.34,145,2,0,0,7.857142857,6.214285714,6.857142857,6.142857143,51.5,19.64285714,6.142857143,3.785714286,42.92857143,13.57142857,0.142857143,13.71428571,9.785714286,0.642857143,0.357142857,64.5,29.57142857,0.472142857,0.714285714,3.642857143,0.928571429,0.28,76.14285714,40.92857143,4,5,31,608,1,0,0,3,3,3,0,9,172.72,180.34,145,34,36,0,1,0,0,0,0,1,0,0
Blue,FALSE,3,0,1,0,16.33333333,9.333333333,5.111111111,3.666666667,73.66666667,29,9.444444444,5.888888889,60.55555556,20,0.333333333,11.33333333,9.222222222,1.222222222,0,88.22222222,38.55555556,0.432222222,0.888888889,1.555555556,0.444444444,0.193333333,94.33333333,43.44444444,3,4,23,721.7777778,0,0,0,1,2,2,0,5,172.72,177.8,135,0,1,0,14.5,10.5,13,9.25,34.5,13.75,6.5,4.75,34.75,13,0,4.75,4.25,1.75,0.25,54,27.75,0.51,0.25,3.5,1.75,0.475,64.5,37.25,1,2,9,624.25,0,0,0,2,0,0,0,2,167.64,172.72,135,25,38,0,0,0,0,1,0,0,1,0
Red,FALSE,3,0,2,0,13.5,10,31,26,24.5,9,3.5,3,42.5,25.5,0.5,3,2.5,0,0,59,38,0.66,0,0.5,0.5,0.5,112.5,83,2,0,4,466.5,0,0,0,1,1,0,0,2,172.72,170.18,115,1,0,0,17,12.25,2.5,2.25,97.75,33,4.25,3.5,78,21.25,0,9.5,5.25,2.5,0,104.5,38.75,0.4,2,2.5,1.25,0.6825,116.75,49.75,3,1,10,706,0,0,0,1,0,2,0,3,162.56,162.56,115,29,31,0,1,0,0,0,0,1,0,0
Red,FALSE,3,0,3,0,10,9.333333333,15.66666667,14,15,8.666666667,16,11,33.33333333,21,0,3.333333333,3.333333333,8,0,46.66666667,33.66666667,0.71,0,10.33333333,7.333333333,0.7,113.6666667,92.33333333,3,0,9,900,0,0,0,3,0,0,0,3,182.88,190.5,170,0,7,0,9.272727273,5.545454545,5.818181818,3.636363636,60.72727273,25.27272727,5.363636364,4.545454545,55.45454545,22.09090909,0.090909091,7.181818182,5.818181818,3.909090909,0.090909091,71.90909091,33.45454545,0.482727273,0.545454545,9.818181818,3.727272727,0.419090909,89.45454545,48.72727273,7,2,31,808,0,0,3,4,0,2,0,9,167.64,170.18,170,32,37,0,1,0,0,0,0,1,0,0
Red,FALSE,3,0,1,0,6.375,4,2.375,1.625,31.625,11.5,6.625,3.375,29.75,9.625,0,4.5,2.875,2.5,0.375,40.625,16.5,0.4375,0.625,3.75,1.625,0.30375,53.375,27.625,1,4,15,466,0,0,0,0,0,4,0,4,177.8,180.34,125,0,1,0,21.5,13.75,14,10.5,118,49.75,3.75,3.25,100.25,38.75,0.25,14,11,2.5,0.5,135.75,63.5,0.435,1.25,1.25,0.75,0.5825,160,85.75,2,1,12,862.75,0,0,1,1,0,1,0,3,165.1,170.18,125,29,28,0,0,0,1,0,0,1,0,0
Blue,FALSE,3,2,0,0,3.5,2,3.5,1,75.5,26.5,0,0,75.5,25.5,0,0,0,0.5,0,79,27.5,0.34,0,2.5,0.5,0.5,81.5,29,0,2,5,714,0,0,0,0,0,0,0,0,182.88,182.88,145,1,0,0,0.5,0.5,0,0,3.5,2.5,1,1,3,2,0.5,1,1,0,0,4.5,3.5,0.855,0.5,0,0,0,4.5,3.5,1,1,2,32.5,0,0,0,0,1,0,0,1,180.34,180.34,145,27,24,0,1,0,0,0,0,0,1,0
Blue,FALSE,5,1,0,0,14.57142857,10.42857143,6.428571429,4,95.85714286,37.85714286,16.42857143,9.285714286,90,28.71428571,0.285714286,14.14285714,12,1.285714286,0.285714286,118.7142857,51.14285714,0.45,1.142857143,2.857142857,1.142857143,0.435714286,135,64.71428571,6,1,20,794.1428571,1,0,2,2,2,0,0,6,180.34,180.34,145,0,1,0,4.8,3.4,2.8,2.4,72.6,21.4,7.8,5,74.8,23.2,0.4,3.6,2.2,1.4,0,83.2,28.8,0.4,0.8,1.4,1,0.3,110.2,52.6,3,1,12,548.4,1,0,0,0,2,2,0,4,170.18,182.88,145,26,31,0,1,0,0,0,0,1,0,0
Red,FALSE,3,0,1,0,11.375,6.5,8.75,5.375,83.125,34.125,6,4.625,77.375,29,0.875,9.125,8.625,1.125,0,97.875,44.125,0.4825,0,1,0.5,0.23875,102.75,48.875,2,3,19,642.75,0,0,1,0,4,0,0,5,177.8,180.34,170,1,0,0,15.14285714,11.14285714,6.392857143,4.071428571,76.82142857,36.10714286,5.035714286,3.5,59.07142857,20.5,0.607142857,14.03571429,12.03571429,0.964285714,0.071428571,88.25,43.67857143,0.493571429,0.357142857,2.321428571,0.714285714,0.291428571,95.53571429,49.92857143,8,8,60,561.75,1,0,0,6,9,5,0,20,185.42,185.42,155,27,35,0,1,0,0,0,0,1,0,0
Blue,FALSE,3,0,3,0,15.2,13.4,17.4,15.4,52.6,20.2,0.2,0,45.2,14.4,0.2,9.8,7.8,0.2,0,70.2,35.6,0.45,0,0.2,0,0,92.8,56.2,3,1,12,656.8,1,0,1,1,2,0,0,4,175.26,180.34,135,1,0,0,14.44444444,11.22222222,21.66666667,16.22222222,76.11111111,29.77777778,7,5.444444444,83,33.77777778,0,7.333333333,6.444444444,0.777777778,0,104.7777778,51.44444444,0.513333333,1,3.444444444,1.222222222,0.542222222,129.1111111,73.44444444,4,3,26,850.3333333,1,0,1,3,0,2,0,6,170.18,170.18,135,34,30,0,1,0,0,0,0,1,0,0
Red,FALSE,3,0,1,0,1,0,1,0,20,8,2,0,22,8,1,0,0,1,1,23,8,0.34,1,1,1,1,23,8,1,0,1,212,0,0,0,0,0,1,0,1,190.5,190.5,155,0,1,0,18,7,0,0,67,40,4,2,26,9,0,27,26,2,0,71,42,0.59,1,0,0,0,116,86,1,0,3,900,1,0,1,0,0,0,0,1,180.34,180.34,155,25,26,0,0,0,1,0,0,1,0,0
Red,FALSE,3,1,0,0,3.4,2.8,1.2,1,46,14.8,10.6,8.8,53.8,21.2,0,0.6,0.6,2.8,0.2,57.8,24.6,0.36,0.8,1.4,0.6,0.198,91.6,50.4,1,3,8,408.6,1,0,0,1,1,0,0,2,160.02,162.56,115,3,0,0,24.66666667,12.66666667,10,6.666666667,109.3333333,32.33333333,2.666666667,1.666666667,91.33333333,23,0.333333333,6,5,2.666666667,1,122,40.66666667,0.323333333,0,2.666666667,1.333333333,0.333333333,152.6666667,68,0,3,9,900,0,0,0,0,0,0,0,0,170.18,175.26,115,27,31,0,0,0,0,1,0,0,1,0
Red,FALSE,3,0,1,0,6,2,7,5,62,20,2,2,61,22,0,4,3,3,0,71,27,0.38,0,19,8,0.42,152,94,1,0,3,900,0,1,0,0,0,0,0,1,175.26,182.88,155,0,2,0,8.333333333,4,4.333333333,3,79.33333333,28,2.333333333,1,74.33333333,25,0,3.333333333,3,2.333333333,0,86,32,0.406666667,0.666666667,3.666666667,2,0.516666667,93,37.66666667,2,1,7,601.6666667,0,0,0,0,0,2,0,2,167.64,177.8,155,32,32,0,1,0,0,0,0,1,0,0
Blue,FALSE,3,1,0,0,7.75,6.5,1.75,0.5,72.25,23.75,27.25,23.25,91.75,39.5,0,1.75,1.5,1,0,101.25,47.5,0.45,0.25,5.75,2.5,0.385,148.75,91.25,1,3,12,900,0,0,0,1,0,0,0,1,167.64,172.72,125,1,0,0,2,1,1.5,0.5,12,4,13.5,6,23,8.5,0.5,2,1,0.5,0,27,10.5,0.41,0.5,0.5,0,0,30.5,13,1,1,3,405,0,0,0,0,0,1,0,1,167.64,175.26,125,27,24,0,1,0,0,0,0,0,0,1
Red,FALSE,3,2,0,0,13,8.75,4.75,2.5,102.75,27,6.5,4,100,24.25,0.5,1,0.5,1.25,0.25,114,33.5,0.2625,0.25,0.75,0.5,0.25,121.75,40.75,1,3,9,619.5,0,0,1,0,0,0,0,1,167.64,172.72,135,0,1,0,4,3,2.5,1.5,18.5,9,3,3,19,10,0,1,0.5,0.5,0,24,13.5,0.53,0.5,1.5,1,0.33,25.5,15,1,1,4,410.5,0,0,0,0,0,1,0,1,167.64,165.1,135,27,24,0,1,0,0,0,0,1,0,0
Red,TRUE,5,0,3,0,5.866666667,4.333333333,5.866666667,4.333333333,29.86666667,10.53333333,18.2,12.8,46.13333333,22,0.333333333,1.933333333,1.333333333,1.066666667,0.133333333,53.93333333,27.66666667,0.552,0,1.4,0.333333333,0.222,57.06666667,30.46666667,6,3,34,577.4666667,0,0,1,1,10,0,0,12,190.5,200.66,260,0,2,0,11,8.083333333,20.33333333,14.75,65.75,25.66666667,13.33333333,10.08333333,80.16666667,36.16666667,0.166666667,8.25,6.25,2,0,99.41666667,50.5,0.549166667,0.583333333,3.416666667,1.416666667,0.370833333,146.5,93,4,2,34,780.1666667,7,0,1,3,3,3,0,10,180.34,182.88,235,33,39,0,1,0,0,0,0,1,0,0
Blue,FALSE,3,1,0,0,8.636363636,5.363636364,5.272727273,3.090909091,27.36363636,10.81818182,10.36363636,8.636363636,33,15.81818182,0.181818182,1.363636364,1.363636364,2.454545455,0.181818182,43,22.54545455,0.501818182,0.727272727,4,1.181818182,0.330909091,56.09090909,33.81818182,5,3,20,485.8181818,0,0,0,1,3,4,0,8,185.42,182.88,185,0,1,0,7.615384615,4.307692308,4.923076923,3.230769231,49.46153846,17.92307692,14.15384615,9.384615385,56.46153846,22.84615385,0.230769231,4.461538462,3.384615385,2.538461538,0,68.53846154,30.53846154,0.466153846,0.769230769,5.384615385,2.769230769,0.638461538,88.92307692,47.53846154,9,3,32,621.4615385,5,0,0,3,4,3,0,10,187.96,198.12,185,38,34,0,1,0,0,0,0,1,0,0
Blue,FALSE,3,2,0,0,4.714285714,3.285714286,7,5.285714286,53.71428571,24.57142857,3.857142857,3.428571429,54.85714286,25.71428571,0.142857143,5,4.285714286,0.428571429,0,64.57142857,33.28571429,0.498571429,0,0.428571429,0.142857143,0.142857143,74.57142857,42.42857143,2,4,15,563.4285714,0,0,0,1,2,0,0,3,180.34,195.58,185,0,1,0,7.714285714,5.857142857,8.285714286,6.714285714,32,8.428571429,4.428571429,2.857142857,32,8,0.142857143,5,4.142857143,1.571428571,0,44.71428571,18,0.417142857,0,4.714285714,1.571428571,0.354285714,76.71428571,45.85714286,2,3,17,650.5714286,0,0,1,2,1,0,0,4,185.42,198.12,185,34,37,0,0,0,0,1,0,1,0,0
Red,FALSE,3,1,0,0,10.5,4.75,1.75,0.75,86.25,27.75,4.25,2.5,77.5,23.5,0.75,4.25,2.75,0,0,92.25,31,0.2475,0,0,0,0,100.25,37,1,2,8,532.75,0,0,0,1,1,0,0,2,182.88,185.42,185,1,0,0,3,2.5,5.5,5.5,6,3,3,2,11,7.5,0,0.5,0.5,0.5,0,14.5,10.5,0.695,1,0.5,0.5,0.5,27.5,20.5,1,1,2,253,0,0,0,0,0,1,0,1,185.42,187.96,205,28,28,0,1,0,0,0,0,0,1,0
Blue,FALSE,3,0,3,0,18,15,14.66666667,12,120,61.33333333,3,2.666666667,97.33333333,42.33333333,0.333333333,22.33333333,18.66666667,0.666666667,0,137.6666667,76,0.566666667,0.333333333,1,0,0,150.3333333,88,3,0,10,972.3333333,0,0,1,1,1,0,0,3,193.04,203.2,185,1,0,0,2.153846154,1.307692308,6.846153846,4.307692308,30.92307692,10.92307692,8,4.461538462,38.53846154,15,0.384615385,5.076923077,3.384615385,1.076923077,0,45.76923077,19.69230769,0.456153846,0.230769231,3.615384615,1,0.11,68,38.92307692,5,4,21,360.6153846,0,0,0,2,6,1,0,9,185.42,195.58,185,29,34,0,0,0,0,1,0,0,1,0
Blue,FALSE,3,1,0,0,3,1,1,0.333333333,27.33333333,9.666666667,0.333333333,0.333333333,22.66666667,7.333333333,0,3,2,0.666666667,0,28.66666667,10.33333333,0.413333333,0.666666667,2.333333333,0.666666667,0.093333333,37.66666667,19,1,2,5,435.6666667,0,0,0,0,0,1,0,1,177.8,182.88,145,3,0,0,9.375,5.5,4.25,2,107,31.375,8.75,7.375,100.625,28.125,0.375,10,7.125,0.5,0.375,120,40.75,0.36125,1.625,4,1.25,0.30125,136.625,56.125,4,4,21,746.75,0,0,1,1,1,1,0,4,177.8,180.34,145,31,26,0,1,0,0,0,0,1,0,0
Red,FALSE,3,0,1,0,16.66666667,8.333333333,6.666666667,4.666666667,218,59.33333333,17.33333333,11,218.6666667,61.33333333,0,6.666666667,5.333333333,1.666666667,0,242,75,0.306666667,0.333333333,5.666666667,1,0.406666667,274.3333333,101,1,2,10,970.6666667,1,0,0,0,1,0,0,1,170.18,175.26,125,0,1,0,22,13,4,3,193,61,16,11,179,51,0,12,11,2,0,213,75,0.35,0,4,2,0.5,238,96,1,0,3,900,0,0,0,1,0,0,0,1,162.56,170.18,135,36,33,0,1,0,0,0,0,1,0,0
Blue,FALSE,3,0,1,0,32,23.5,5.5,4.5,95.5,40.5,0.5,0.5,65,19,0,4.5,3,0.5,0,101.5,45.5,0.5,0,2,0,0,107.5,50,1,1,6,885,0,0,0,1,0,0,0,1,172.72,182.88,145,0,2,0,23.5,16,12.5,8,172.5,56.5,4.5,3,162.5,48.5,0,3.5,3,0.5,0,189.5,67.5,0.35,0.5,0.5,0,0,207.5,83.5,2,0,6,837.5,0,0,0,1,0,1,0,2,170.18,177.8,145,28,29,0,1,0,0,0,0,0,1,0
Red,FALSE,3,1,0,0,13.625,9.625,12,8.5,37.4375,15.375,2.5625,2.125,35.625,14.125,0.1875,2.75,2.25,0.3125,0,52,26,0.541875,0.5625,0.3125,0.125,0.125,78.3125,50.5625,3,7,32,497.625,0,0,1,2,3,3,0,9,187.96,195.58,170,1,0,0,13,11,14,12,114.5,48,7,5,117,49,0.5,5.5,5,0.5,0,135.5,65,0.48,0,0.5,0.5,0.5,148.5,76.5,1,1,5,708.5,0,0,0,0,1,0,0,1,182.88,187.96,170,35,33,0,1,0,0,0,0,1,0,0
Red,FALSE,3,2,0,0,16,13,13.5,11,134,51.5,11.5,9,132,50.5,0,11,8,0,0,159,71.5,0.445,1,2.5,1,0.415,226,131.5,0,2,6,794.5,0,0,0,0,0,0,0,0,180.34,177.8,155,1,0,0,21.5,14,11,8.75,164.25,69.75,9.5,6.75,153,62.5,1.25,10.25,8.75,0.5,0,184.75,85.25,0.455,0,0.5,0.5,0.5,209.25,105,3,1,12,787.75,0,0,0,2,1,0,0,3,180.34,190.5,145,32,27,0,1,0,0,0,0,1,0,0
Blue,FALSE,3,1,0,0,4,2.142857143,2.142857143,2,14.57142857,6.428571429,5.857142857,4.428571429,13.57142857,7.142857143,0.428571429,5,3.571428571,0.428571429,0.142857143,22.57142857,12.85714286,0.561428571,0.428571429,0,0,0,35,24.14285714,2,3,8,172.5714286,0,0,0,0,3,1,0,4,185.42,190.5,253,0,2,0,11,9.5,6,6,49.5,18,5.5,3.5,44,12.5,0,6,5.5,0.5,0,61,27.5,0.46,0.5,0.5,0,0,78.5,43.5,2,0,5,659.5,0,0,0,1,0,1,0,2,195.58,205.74,250,33,26,0,1,0,0,0,0,1,0,0
Blue,FALSE,5,0,2,0,7.222222222,4.777777778,5.555555556,4.333333333,52.44444444,22.88888889,3.111111111,2.333333333,51,22.22222222,0.555555556,2.888888889,2.555555556,0.444444444,0.222222222,61.11111111,29.55555556,0.501111111,0.222222222,1.222222222,0.333333333,0.081111111,65.55555556,33.55555556,3,3,19,501,0,0,0,1,5,0,0,6,193.04,193.04,205,1,0,0,10.25,7.25,9.25,6,62,27.5,1.25,0.75,56.25,22.25,0.25,6,4.75,0,0,72.5,34.25,0.5625,0,0.25,0,0,79.25,40.75,3,1,7,347.5,1,0,1,0,2,0,0,3,187.96,190.5,205,30,29,0,1,0,0,0,0,1,0,0
Red,FALSE,3,2,0,0,17.16666667,9.833333333,6,2.666666667,124.1666667,52.66666667,1.166666667,1,93.16666667,29,0,21,17.5,0.333333333,0,131.3333333,56.33333333,0.376666667,0,2,0.5,0.208333333,144.5,67.5,2,4,20,1000,1,0,0,2,0,0,0,2,175.26,165.1,145,0,1,0,24.21052632,13.10526316,7.052631579,4.421052632,112.7368421,40.05263158,3.631578947,2.052631579,88.26315789,25.26315789,0.473684211,10.94736842,8.157894737,0,0.157894737,123.4210526,46.52631579,0.362631579,0.052631579,1,0.421052632,0.293684211,126.5789474,49.21052632,4,9,47,673.1052632,1,0,1,5,4,0,0,10,177.8,185.42,145,32,32,0,0,0,1,0,0,0,1,0
Red,FALSE,3,1,0,0,5.727272727,4.363636364,10.18181818,7.090909091,52.09090909,18.72727273,23.45454545,17.18181818,75.90909091,35.27272727,0,4.090909091,3.363636364,1.818181818,0,85.72727273,43,0.486363636,0.090909091,7.272727273,3.090909091,0.33,110.7272727,64.36363636,3,5,25,602.7272727,0,0,1,3,2,0,0,6,187.96,193.04,205,2,0,0,6.833333333,4.166666667,7.833333333,5.166666667,33.33333333,14.66666667,3.166666667,3.166666667,36.33333333,17.83333333,0,1.166666667,1,1.833333333,0.166666667,44.33333333,23,0.528333333,0.5,2.666666667,1.5,0.373333333,63.33333333,38,4,2,9,304.3333333,0,0,0,0,1,3,0,4,190.5,195.58,205,37,31,0,1,0,0,0,0,1,0,0
Red,FALSE,3,2,0,0,9.3,8,11.35,8.2,27.05,9.65,13.1,9.15,39.4,16.7,0.15,2.8,2.3,1.8,0.25,51.5,27,0.5015,0.8,3.05,1.6,0.4935,81.6,54.8,3,10,44,543.5,1,0,1,2,3,4,0,10,185.42,195.58,205,1,0,0,10.07692308,6.153846154,5.307692308,3.769230769,108.3076923,43.92307692,3.230769231,2.384615385,94,32.84615385,0.230769231,12.76923077,11.07692308,0.307692308,0,116.8461538,50.07692308,0.442307692,0,1.615384615,0.384615385,0.173076923,125,57.46153846,2,7,34,685.3076923,0,0,2,0,4,0,0,6,190.5,193.04,205,38,33,0,1,0,0,0,0,1,0,0
Blue,FALSE,3,2,0,0,25.69230769,13,8.923076923,4.692307692,165.9230769,54.53846154,8.076923077,5.538461538,138.6923077,37.07692308,0,18.53846154,14.69230769,1.307692308,0,182.9230769,64.76923077,0.356923077,0.461538462,7.307692308,1.769230769,0.262307692,211.5384615,89.46153846,3,6,36,804.3846154,1,0,1,4,0,2,0,7,180.34,190.5,170,1,0,0,4.444444444,2.333333333,4.111111111,2.222222222,60.11111111,16.22222222,4.222222222,2.111111111,63.33333333,17.66666667,0.333333333,0.666666667,0.555555556,1.777777778,0.111111111,68.44444444,20.55555556,0.32,0.111111111,5.666666667,3.111111111,0.465555556,82.77777778,32.33333333,2,4,22,680.4444444,0,0,1,1,2,1,0,5,175.26,182.88,170,33,31,0,1,0,0,0,0,1,0,0
Blue,FALSE,3,1,0,0,6,3.333333333,6.666666667,4,126.5555556,39.77777778,11.77777778,7.222222222,132.4444444,42.77777778,0.222222222,6.555555556,4.888888889,1,0,145,51,0.367777778,0.444444444,2.111111111,1.222222222,0.425555556,156.7777778,61,3,3,23,750.8888889,0,0,2,2,1,1,0,6,185.42,193.04,170,1,0,0,10.55555556,7.444444444,4.555555556,3.666666667,48.22222222,23.55555556,9.888888889,7.111111111,42.77777778,19.33333333,0.222222222,9.333333333,7.555555556,1.222222222,0.111111111,62.66666667,34.33333333,0.591111111,0,2.333333333,1.777777778,0.555555556,82.88888889,53.55555556,3,3,21,641.6666667,0,0,1,3,2,0,0,6,185.42,187.96,170,27,37,0,1,0,0,0,0,1,0,0
Blue,FALSE,3,0,1,0,9,6,7,6,120,49.5,9.5,4.5,121.5,48.5,1,6,5.5,0.5,0,136.5,60,0.41,0,1.5,0.5,0.5,151,72.5,1,1,6,900,0,0,0,1,0,0,0,1,177.8,182.88,155,1,0,0,3.4,1.6,6.6,3.4,36.4,13.4,4.6,3.6,40.6,16.8,0.2,3.6,2,0.6,0.2,47.6,20.4,0.312,0.2,1,0.8,0.16,55.6,28,1,4,9,407.2,0,0,0,0,1,0,0,1,177.8,182.88,155,23,31,0,0,0,1,0,0,1,0,0
Blue,FALSE,3,2,0,0,4.5,3.5,2,1.5,77.5,27,8,5.5,72,21,0,11,9.5,1.5,0.5,87.5,34,0.385,0.5,9,2,0.255,115.5,56,0,2,6,897,0,0,0,0,0,0,0,0,162.56,172.72,135,1,0,0,3.5,2.25,4.5,2.5,35.25,8.75,14.5,8.5,48.5,15.75,0,2.25,1.75,0.5,0.25,54.25,19.75,0.4025,1,4,0.75,0.225,96,57.75,1,2,10,717.75,0,0,0,1,0,1,0,2,170.18,170.18,135,31,30,0,1,0,0,0,0,1,0,0
Red,FALSE,3,1,0,0,7.5,7,26.5,20,32.5,17,11.5,10,59,36,0,4,4,1,0,70.5,47,0.655,0.5,0.5,0.5,0.5,94.5,68,1,1,4,514,0,0,0,0,0,1,0,1,190.5,190.5,249,1,0,0,1,0.5,4.5,3,22.5,9.5,7,4,33,16,0.5,0,0,1,0,34,16.5,0.49,0,2,1.5,0.83,78,51,1,1,5,659.5,0,0,0,1,0,0,0,1,185.42,190.5,245,26,32,0,1,0,0,0,0,1,0,0
Red,FALSE,3,1,0,0,12.5,6.5,11.5,8,128,39,2.5,2,120,34.5,0,9.5,8,0,0,142,49,0.325,0.5,4,0,0,150.5,56.5,1,1,6,900,0,0,1,0,0,0,0,1,182.88,185.42,155,2,0,0,7.625,5,6.125,3.5,62.875,24.625,9.25,7.75,62.875,24.75,0.125,7.75,6.125,1,0,78.25,35.875,0.4525,0.625,1.125,0.625,0.26,96,51.25,3,3,19,660.25,0,1,1,1,2,0,0,5,177.8,177.8,155,26,28,0,1,0,0,0,0,0,1,0
